,School Name,Region,School Type,Undergraduate Major,Adjusted Salary
0,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Accounting,72156
1,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Aerospace Engineering,83856
2,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Agriculture,68756
3,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Anthropology,62956
4,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Architecture,67756
5,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Art History,61956
6,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Biology,64956
7,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Business Management,69156
8,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Chemical Engineering,89356
9,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Chemistry,68756
10,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Civil Engineering,80056
11,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Communications,64256
12,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Computer Engineering,87556
13,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Computer Science,82056
14,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Construction,79856
15,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Criminal Justice,61156
16,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Drama,62056
17,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Economics,76256
18,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Education,61056
19,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Electrical Engineering,87056
20,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,English,64156
21,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Film,64056
22,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Finance,74056
23,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Forestry,65256
24,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Geography,67356
25,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Geology,69656
26,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Graphic Design,61856
27,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Health Care Administration,64956
28,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,History,65356
29,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Hospitality & Tourism,63956
30,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Industrial Engineering,83856
31,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Information Technology (IT),75256
32,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Interior Design,62256
33,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,International Relations,67056
34,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Journalism,61756
35,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Management Information Systems (MIS),75356
36,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Marketing,66956
37,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Math,71556
38,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Mechanical Engineering,84056
39,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Music,62056
40,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Nursing,80356
41,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Nutrition,66056
42,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Philosophy,66056
43,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Physician Assistant,100456
44,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Physics,76456
45,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Political Science,66956
46,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Psychology,62056
47,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Religion,60256
48,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Sociology,62656
49,Massachusetts Institute of Technology (MIT),Northeastern,Engineering,Spanish,60156
50,California Institute of Technology (CIT),California,Engineering,Accounting,75456
51,California Institute of Technology (CIT),California,Engineering,Aerospace Engineering,87156
52,California Institute of Technology (CIT),California,Engineering,Agriculture,72056
53,California Institute of Technology (CIT),California,Engineering,Anthropology,66256
54,California Institute of Technology (CIT),California,Engineering,Architecture,71056
55,California Institute of Technology (CIT),California,Engineering,Art History,65256
56,California Institute of Technology (CIT),California,Engineering,Biology,68256
57,California Institute of Technology (CIT),California,Engineering,Business Management,72456
58,California Institute of Technology (CIT),California,Engineering,Chemical Engineering,92656
59,California Institute of Technology (CIT),California,Engineering,Chemistry,72056
60,California Institute of Technology (CIT),California,Engineering,Civil Engineering,83356
61,California Institute of Technology (CIT),California,Engineering,Communications,67556
62,California Institute of Technology (CIT),California,Engineering,Computer Engineering,90856
63,California Institute of Technology (CIT),California,Engineering,Computer Science,85356
64,California Institute of Technology (CIT),California,Engineering,Construction,83156
65,California Institute of Technology (CIT),California,Engineering,Criminal Justice,64456
66,California Institute of Technology (CIT),California,Engineering,Drama,65356
67,California Institute of Technology (CIT),California,Engineering,Economics,79556
68,California Institute of Technology (CIT),California,Engineering,Education,64356
69,California Institute of Technology (CIT),California,Engineering,Electrical Engineering,90356
70,California Institute of Technology (CIT),California,Engineering,English,67456
71,California Institute of Technology (CIT),California,Engineering,Film,67356
72,California Institute of Technology (CIT),California,Engineering,Finance,77356
73,California Institute of Technology (CIT),California,Engineering,Forestry,68556
74,California Institute of Technology (CIT),California,Engineering,Geography,70656
75,California Institute of Technology (CIT),California,Engineering,Geology,72956
76,California Institute of Technology (CIT),California,Engineering,Graphic Design,65156
77,California Institute of Technology (CIT),California,Engineering,Health Care Administration,68256
78,California Institute of Technology (CIT),California,Engineering,History,68656
79,California Institute of Technology (CIT),California,Engineering,Hospitality & Tourism,67256
80,California Institute of Technology (CIT),California,Engineering,Industrial Engineering,87156
81,California Institute of Technology (CIT),California,Engineering,Information Technology (IT),78556
82,California Institute of Technology (CIT),California,Engineering,Interior Design,65556
83,California Institute of Technology (CIT),California,Engineering,International Relations,70356
84,California Institute of Technology (CIT),California,Engineering,Journalism,65056
85,California Institute of Technology (CIT),California,Engineering,Management Information Systems (MIS),78656
86,California Institute of Technology (CIT),California,Engineering,Marketing,70256
87,California Institute of Technology (CIT),California,Engineering,Math,74856
88,California Institute of Technology (CIT),California,Engineering,Mechanical Engineering,87356
89,California Institute of Technology (CIT),California,Engineering,Music,65356
90,California Institute of Technology (CIT),California,Engineering,Nursing,83656
91,California Institute of Technology (CIT),California,Engineering,Nutrition,69356
92,California Institute of Technology (CIT),California,Engineering,Philosophy,69356
93,California Institute of Technology (CIT),California,Engineering,Physician Assistant,103756
94,California Institute of Technology (CIT),California,Engineering,Physics,79756
95,California Institute of Technology (CIT),California,Engineering,Political Science,70256
96,California Institute of Technology (CIT),California,Engineering,Psychology,65356
97,California Institute of Technology (CIT),California,Engineering,Religion,63556
98,California Institute of Technology (CIT),California,Engineering,Sociology,65956
99,California Institute of Technology (CIT),California,Engineering,Spanish,63456
100,Harvey Mudd College,California,Engineering,Accounting,71756
101,Harvey Mudd College,California,Engineering,Aerospace Engineering,83456
102,Harvey Mudd College,California,Engineering,Agriculture,68356
103,Harvey Mudd College,California,Engineering,Anthropology,62556
104,Harvey Mudd College,California,Engineering,Architecture,67356
105,Harvey Mudd College,California,Engineering,Art History,61556
106,Harvey Mudd College,California,Engineering,Biology,64556
107,Harvey Mudd College,California,Engineering,Business Management,68756
108,Harvey Mudd College,California,Engineering,Chemical Engineering,88956
109,Harvey Mudd College,California,Engineering,Chemistry,68356
110,Harvey Mudd College,California,Engineering,Civil Engineering,79656
111,Harvey Mudd College,California,Engineering,Communications,63856
112,Harvey Mudd College,California,Engineering,Computer Engineering,87156
113,Harvey Mudd College,California,Engineering,Computer Science,81656
114,Harvey Mudd College,California,Engineering,Construction,79456
115,Harvey Mudd College,California,Engineering,Criminal Justice,60756
116,Harvey Mudd College,California,Engineering,Drama,61656
117,Harvey Mudd College,California,Engineering,Economics,75856
118,Harvey Mudd College,California,Engineering,Education,60656
119,Harvey Mudd College,California,Engineering,Electrical Engineering,86656
120,Harvey Mudd College,California,Engineering,English,63756
121,Harvey Mudd College,California,Engineering,Film,63656
122,Harvey Mudd College,California,Engineering,Finance,73656
123,Harvey Mudd College,California,Engineering,Forestry,64856
124,Harvey Mudd College,California,Engineering,Geography,66956
125,Harvey Mudd College,California,Engineering,Geology,69256
126,Harvey Mudd College,California,Engineering,Graphic Design,61456
127,Harvey Mudd College,California,Engineering,Health Care Administration,64556
128,Harvey Mudd College,California,Engineering,History,64956
129,Harvey Mudd College,California,Engineering,Hospitality & Tourism,63556
130,Harvey Mudd College,California,Engineering,Industrial Engineering,83456
131,Harvey Mudd College,California,Engineering,Information Technology (IT),74856
132,Harvey Mudd College,California,Engineering,Interior Design,61856
133,Harvey Mudd College,California,Engineering,International Relations,66656
134,Harvey Mudd College,California,Engineering,Journalism,61356
135,Harvey Mudd College,California,Engineering,Management Information Systems (MIS),74956
136,Harvey Mudd College,California,Engineering,Marketing,66556
137,Harvey Mudd College,California,Engineering,Math,71156
138,Harvey Mudd College,California,Engineering,Mechanical Engineering,83656
139,Harvey Mudd College,California,Engineering,Music,61656
140,Harvey Mudd College,California,Engineering,Nursing,79956
141,Harvey Mudd College,California,Engineering,Nutrition,65656
142,Harvey Mudd College,California,Engineering,Philosophy,65656
143,Harvey Mudd College,California,Engineering,Physician Assistant,100056
144,Harvey Mudd College,California,Engineering,Physics,76056
145,Harvey Mudd College,California,Engineering,Political Science,66556
146,Harvey Mudd College,California,Engineering,Psychology,61656
147,Harvey Mudd College,California,Engineering,Religion,59856
148,Harvey Mudd College,California,Engineering,Sociology,62256
149,Harvey Mudd College,California,Engineering,Spanish,59756
150,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Accounting,62356
151,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Aerospace Engineering,74056
152,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Agriculture,58956
153,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Anthropology,53156
154,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Architecture,57956
155,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Art History,52156
156,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Biology,55156
157,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Business Management,59356
158,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Chemical Engineering,79556
159,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Chemistry,58956
160,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Civil Engineering,70256
161,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Communications,54456
162,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Computer Engineering,77756
163,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Computer Science,72256
164,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Construction,70056
165,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Criminal Justice,51356
166,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Drama,52256
167,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Economics,66456
168,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Education,51256
169,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Electrical Engineering,77256
170,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,English,54356
171,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Film,54256
172,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Finance,64256
173,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Forestry,55456
174,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Geography,57556
175,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Geology,59856
176,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Graphic Design,52056
177,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Health Care Administration,55156
178,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,History,55556
179,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Hospitality & Tourism,54156
180,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Industrial Engineering,74056
181,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Information Technology (IT),65456
182,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Interior Design,52456
183,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,International Relations,57256
184,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Journalism,51956
185,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Management Information Systems (MIS),65556
186,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Marketing,57156
187,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Math,61756
188,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Mechanical Engineering,74256
189,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Music,52256
190,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Nursing,70556
191,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Nutrition,56256
192,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Philosophy,56256
193,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Physician Assistant,90656
194,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Physics,66656
195,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Political Science,57156
196,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Psychology,52256
197,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Religion,50456
198,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Sociology,52856
199,"Polytechnic University of New York, Brooklyn",Northeastern,Engineering,Spanish,50356
200,Cooper Union,Northeastern,Engineering,Accounting,62156
201,Cooper Union,Northeastern,Engineering,Aerospace Engineering,73856
202,Cooper Union,Northeastern,Engineering,Agriculture,58756
203,Cooper Union,Northeastern,Engineering,Anthropology,52956
204,Cooper Union,Northeastern,Engineering,Architecture,57756
205,Cooper Union,Northeastern,Engineering,Art History,51956
206,Cooper Union,Northeastern,Engineering,Biology,54956
207,Cooper Union,Northeastern,Engineering,Business Management,59156
208,Cooper Union,Northeastern,Engineering,Chemical Engineering,79356
209,Cooper Union,Northeastern,Engineering,Chemistry,58756
210,Cooper Union,Northeastern,Engineering,Civil Engineering,70056
211,Cooper Union,Northeastern,Engineering,Communications,54256
212,Cooper Union,Northeastern,Engineering,Computer Engineering,77556
213,Cooper Union,Northeastern,Engineering,Computer Science,72056
214,Cooper Union,Northeastern,Engineering,Construction,69856
215,Cooper Union,Northeastern,Engineering,Criminal Justice,51156
216,Cooper Union,Northeastern,Engineering,Drama,52056
217,Cooper Union,Northeastern,Engineering,Economics,66256
218,Cooper Union,Northeastern,Engineering,Education,51056
219,Cooper Union,Northeastern,Engineering,Electrical Engineering,77056
220,Cooper Union,Northeastern,Engineering,English,54156
221,Cooper Union,Northeastern,Engineering,Film,54056
222,Cooper Union,Northeastern,Engineering,Finance,64056
223,Cooper Union,Northeastern,Engineering,Forestry,55256
224,Cooper Union,Northeastern,Engineering,Geography,57356
225,Cooper Union,Northeastern,Engineering,Geology,59656
226,Cooper Union,Northeastern,Engineering,Graphic Design,51856
227,Cooper Union,Northeastern,Engineering,Health Care Administration,54956
228,Cooper Union,Northeastern,Engineering,History,55356
229,Cooper Union,Northeastern,Engineering,Hospitality & Tourism,53956
230,Cooper Union,Northeastern,Engineering,Industrial Engineering,73856
231,Cooper Union,Northeastern,Engineering,Information Technology (IT),65256
232,Cooper Union,Northeastern,Engineering,Interior Design,52256
233,Cooper Union,Northeastern,Engineering,International Relations,57056
234,Cooper Union,Northeastern,Engineering,Journalism,51756
235,Cooper Union,Northeastern,Engineering,Management Information Systems (MIS),65356
236,Cooper Union,Northeastern,Engineering,Marketing,56956
237,Cooper Union,Northeastern,Engineering,Math,61556
238,Cooper Union,Northeastern,Engineering,Mechanical Engineering,74056
239,Cooper Union,Northeastern,Engineering,Music,52056
240,Cooper Union,Northeastern,Engineering,Nursing,70356
241,Cooper Union,Northeastern,Engineering,Nutrition,56056
242,Cooper Union,Northeastern,Engineering,Philosophy,56056
243,Cooper Union,Northeastern,Engineering,Physician Assistant,90456
244,Cooper Union,Northeastern,Engineering,Physics,66456
245,Cooper Union,Northeastern,Engineering,Political Science,56956
246,Cooper Union,Northeastern,Engineering,Psychology,52056
247,Cooper Union,Northeastern,Engineering,Religion,50256
248,Cooper Union,Northeastern,Engineering,Sociology,52656
249,Cooper Union,Northeastern,Engineering,Spanish,50156
250,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Accounting,60956
251,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Aerospace Engineering,72656
252,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Agriculture,57556
253,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Anthropology,51756
254,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Architecture,56556
255,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Art History,50756
256,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Biology,53756
257,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Business Management,57956
258,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Chemical Engineering,78156
259,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Chemistry,57556
260,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Civil Engineering,68856
261,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Communications,53056
262,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Computer Engineering,76356
263,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Computer Science,70856
264,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Construction,68656
265,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Criminal Justice,49956
266,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Drama,50856
267,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Economics,65056
268,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Education,49856
269,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Electrical Engineering,75856
270,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,English,52956
271,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Film,52856
272,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Finance,62856
273,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Forestry,54056
274,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Geography,56156
275,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Geology,58456
276,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Graphic Design,50656
277,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Health Care Administration,53756
278,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,History,54156
279,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Hospitality & Tourism,52756
280,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Industrial Engineering,72656
281,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Information Technology (IT),64056
282,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Interior Design,51056
283,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,International Relations,55856
284,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Journalism,50556
285,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Management Information Systems (MIS),64156
286,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Marketing,55756
287,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Math,60356
288,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Mechanical Engineering,72856
289,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Music,50856
290,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Nursing,69156
291,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Nutrition,54856
292,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Philosophy,54856
293,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Physician Assistant,89256
294,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Physics,65256
295,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Political Science,55756
296,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Psychology,50856
297,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Religion,49056
298,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Sociology,51456
299,Worcester Polytechnic Institute (WPI),Northeastern,Engineering,Spanish,48956
300,Carnegie Mellon University (CMU),Northeastern,Engineering,Accounting,61756
301,Carnegie Mellon University (CMU),Northeastern,Engineering,Aerospace Engineering,73456
302,Carnegie Mellon University (CMU),Northeastern,Engineering,Agriculture,58356
303,Carnegie Mellon University (CMU),Northeastern,Engineering,Anthropology,52556
304,Carnegie Mellon University (CMU),Northeastern,Engineering,Architecture,57356
305,Carnegie Mellon University (CMU),Northeastern,Engineering,Art History,51556
306,Carnegie Mellon University (CMU),Northeastern,Engineering,Biology,54556
307,Carnegie Mellon University (CMU),Northeastern,Engineering,Business Management,58756
308,Carnegie Mellon University (CMU),Northeastern,Engineering,Chemical Engineering,78956
309,Carnegie Mellon University (CMU),Northeastern,Engineering,Chemistry,58356
310,Carnegie Mellon University (CMU),Northeastern,Engineering,Civil Engineering,69656
311,Carnegie Mellon University (CMU),Northeastern,Engineering,Communications,53856
312,Carnegie Mellon University (CMU),Northeastern,Engineering,Computer Engineering,77156
313,Carnegie Mellon University (CMU),Northeastern,Engineering,Computer Science,71656
